Communauté (ID),Taille (Nb Hashtags),Hashtags Principaux
Cluster 1,17,"fyp, foryou, viral, foryoupage, trending"
Cluster 0,14,"comedy, tiktok, love, memes, follow"
Cluster 3,8,"funny, meme, lol, funnyvideos, animals"
Cluster 2,3,"workout, gym, fitness"
Cluster 4,1,x200b
